#{"t_start": 1714481132.5905309, "env_id": "MagnetEnv_OSC-v0"}
r,l,t
-18039.146365,6001,8.509389
-18215.415075,6001,16.6895
-18930.320293,6001,25.109064
-19814.451378,6001,33.441369
-19777.560468,6001,41.823743
-19877.9448,6001,50.210112
-19415.516501,6001,58.533592
-18271.277453,6001,66.869686
-18169.500142,6001,75.236084
-20424.982204,6001,83.625246
-20480.991956,6001,96.090186
-20480.991956,6001,101.875822
-20480.991956,6001,107.627407
-20480.991956,6001,113.360099
-20480.991956,6001,119.128834
-11812.577495,4957,126.485731
-20290.66008,6001,134.857023
-19471.823395,6001,143.28253
-18975.995344,6001,151.150348
-19504.092842,6001,159.630113
-18142.599185,6001,167.961239
-18303.048053,6001,176.262794
-18133.513267,6001,184.640579
-19308.353571,6001,193.061455
-19639.408631,6001,201.417766
-19086.102189,6001,209.822927
-19260.246811,6001,216.557105
-19260.246811,6001,222.30296
-19260.246811,6001,228.055217
-19260.246811,6001,233.825062
-19260.246811,6001,239.587883
-18708.697488,6001,247.925302
-18395.586222,6001,256.293507
-18244.211408,6001,264.751155
-18492.493843,6001,273.247032
-17975.863836,6001,281.45788
-18426.752922,6001,289.828058
-18629.635608,6001,297.647802
-19427.295215,6001,306.003034
-18905.9705,6001,314.228957
-18100.85995,6001,322.582902
-19609.357527,6001,335.597735
-19609.357527,6001,341.299707
-19609.357527,6001,346.992082
-19609.357527,6001,352.71538
-19609.357527,6001,358.436106
-19187.934702,6001,366.83426
-19412.587367,6001,375.157209
-18960.256588,6001,383.332195
-20065.170767,6001,391.184973
-20000.457258,6001,399.564672
-20022.25621,6001,407.94402
-20337.799931,6001,416.311483
-20449.408615,6001,424.642936
-19753.841716,6001,433.048721
-18372.16054,6001,441.473492
-18376.822396,6001,454.085653
-18376.822396,6001,459.842328
-18376.822396,6001,465.623821
-18376.822396,6001,471.388701
-18376.822396,6001,477.14167
-18290.412975,6001,485.494506
-17148.454177,6001,493.956516
-16407.933183,6001,502.467534
-17638.229609,6001,510.891906
-18676.217923,6001,519.306406
-18790.882782,6001,527.7949
-18189.552837,6001,536.085508
-19054.056712,6001,544.38332
-18510.152197,6001,552.660857
-18339.0884,6001,560.92067
-18898.926156,6001,573.403964
-18898.926156,6001,579.137333
-18898.926156,6001,584.911428
-18898.926156,6001,590.61359
-18898.926156,6001,596.33628
-18719.661908,6001,604.645899
-18573.657722,6001,613.009985
-18343.371998,6001,621.229999
-18938.621713,6001,629.525606
-17679.847563,6001,637.882168
-19889.872802,6001,646.322464
-19838.838016,6001,654.641889
-20984.40599,6001,662.924011
-21128.723837,6001,671.215067
-19909.142094,6001,679.010451
-19229.564647,6001,691.893355
-19229.564647,6001,697.483972
-19229.564647,6001,703.081526
-19229.564647,6001,708.673135
-19229.564647,6001,714.244083
-20068.482135,6001,722.539257
-20756.178799,6001,731.094993
-20185.834745,6001,739.58971
-20640.898578,6001,748.158106
-20355.996685,6001,756.655382
-21212.567502,6001,765.199084
-20748.328192,6001,773.163153
-19229.045977,6001,781.416628
-17531.05836,6001,789.819548
-16836.502987,6001,798.303128
-17527.27997,6001,811.419616
-17527.27997,6001,817.135567
-17527.27997,6001,822.854436
-17527.27997,6001,828.567215
-17527.27997,6001,834.336829
-17871.682436,6001,842.611426
-17684.424341,6001,850.911479
-18015.867941,6001,858.637276
-16966.951483,6001,867.046218
-16684.957109,6001,875.41046
-17212.241557,6001,883.739341
-17969.738069,6001,891.916545
-18492.717965,6001,900.174628
-17847.151733,6001,908.446799
-17587.283832,6001,916.747688
-18106.833569,6001,929.357116
-18106.833569,6001,935.212157
-18106.833569,6001,941.114327
-18106.833569,6001,947.004555
-18106.833569,6001,952.963744
-17101.831609,6001,961.251159
-17515.921708,6001,969.593312
-16843.679322,6001,977.880213
-17595.042285,6001,986.121981
-18148.561106,6001,994.34894
-17695.922632,6001,1002.500262
-17037.670799,6001,1010.764244
-17168.762912,6001,1019.038694
-17347.848873,6001,1027.207895
-18085.924122,6001,1035.495197
-19434.453678,6001,1047.770178
-19434.453678,6001,1053.337089
-19434.453678,6001,1058.904457
-19434.453678,6001,1064.475326
-19434.453678,6001,1069.987075
-18953.156641,6001,1078.090176
-17433.51122,6001,1086.366283
-18472.552218,6001,1094.638805
-19074.25049,6001,1103.113425
-18930.047284,6001,1111.717158
-19259.714575,6001,1120.224437
-18423.160263,6001,1128.549838
-19380.682033,6001,1136.8373
-19675.974863,6001,1145.087377
-19991.537324,6001,1152.758306
-19182.236276,6001,1165.702155
-19182.236276,6001,1171.333769
-19182.236276,6001,1177.029034
-19182.236276,6001,1182.732736
-19182.236276,6001,1188.336332
-18345.578605,6001,1196.639279
-17882.513388,6001,1204.884404
-19050.502189,6001,1213.168696
-19295.569874,6001,1221.341464
-19847.630797,6001,1229.485938
-19788.747389,6001,1236.991876
-20120.042122,6001,1245.189367
-19806.65316,6001,1253.331943
-18959.530459,6001,1261.76554
-17950.034194,6001,1270.022331
-18333.636333,6001,1283.441217
-18333.636333,6001,1289.190855
-18333.636333,6001,1295.081634
-18333.636333,6001,1300.436749
-18333.636333,6001,1306.226889
-18381.545076,6001,1314.6464
-18456.085199,6001,1322.351726
-17156.016561,6001,1330.705328
-17697.499797,6001,1339.311999
-18777.940276,6001,1347.849566
-18471.165708,6001,1356.425381
-17789.135484,6001,1364.924417
-17613.078143,6001,1373.421228
-16704.616993,6001,1381.867211
-17039.645223,6001,1390.225428
-18892.832014,6001,1402.825647
-18892.832014,6001,1408.417392
-18892.832014,6001,1414.00508
-18892.832014,6001,1419.708354
-18892.832014,6001,1425.366911
-19025.538895,6001,1433.592694
-18901.251128,6001,1441.861464
-18624.197165,6001,1450.367683
-17568.361285,6001,1458.770366
-22290.523245,6001,1467.395727
-18442.425636,6001,1475.714406
-22939.5613,6001,1484.443158
-22555.925021,6001,1493.111576
-23000.781275,6001,1501.63332
-20209.34998,6001,1509.939328
-18181.114983,6001,1522.557852
-18181.114983,6001,1528.410196
-18181.114983,6001,1534.367654
-18181.114983,6001,1540.195366
-18181.114983,6001,1546.125658
-18088.391216,6001,1554.459604
-17015.141549,6001,1562.741108
-18487.068742,6001,1570.987108
-16442.320125,6001,1579.431888
-17591.254858,6001,1587.694821
-17496.728887,6001,1596.038216
-16986.572237,6001,1604.262479
-19950.220358,6001,1612.713818
-22417.503195,6001,1620.393204
-22757.221512,6001,1628.61653
-22098.10788,6001,1641.63168
-22098.10788,6001,1647.295658
-22098.10788,6001,1653.002409
-22098.10788,6001,1658.807483
-22098.10788,6001,1664.623371
-23145.837819,6001,1673.006913
-21807.164329,6001,1681.507568
-19934.382028,6001,1689.939995
-17776.190029,6001,1698.638614
-19113.445687,6001,1706.423032
-20199.78345,6001,1715.6893
-20011.776342,6001,1724.728282
-20583.564211,6001,1732.924833
-20180.212707,6001,1741.238503
-18883.168016,6001,1749.454216
-20079.983015,6001,1762.306599
-20079.983015,6001,1768.013072
-20079.983015,6001,1773.527355
-20079.983015,6001,1779.115238
-20079.983015,6001,1784.734945
-19779.636669,6001,1792.942966
-22806.542968,6001,1800.763891
-20664.170587,6001,1809.063812
-21032.974422,6001,1817.288416
